timestamp,status,datetime,date
1.52012E+12,2,3/3/18 22:42,03-Mar-18
1.52012E+12,3,3/3/18 22:43,03-Mar-18
1.52012E+12,2,3/3/18 22:43,03-Mar-18
1.52012E+12,3,3/4/18 0:12,04-Mar-18
1.52012E+12,2,3/4/18 0:13,04-Mar-18
1.52012E+12,3,3/4/18 0:21,04-Mar-18
1.52012E+12,2,3/4/18 0:21,04-Mar-18
1.52012E+12,3,3/4/18 0:28,04-Mar-18
1.52012E+12,2,3/4/18 0:28,04-Mar-18
1.52012E+12,3,3/4/18 0:31,04-Mar-18
1.52012E+12,2,3/4/18 0:31,04-Mar-18
1.52012E+12,3,3/4/18 0:34,04-Mar-18
1.52012E+12,2,3/4/18 0:35,04-Mar-18
1.52012E+12,3,3/4/18 0:36,04-Mar-18
1.52012E+12,2,3/4/18 0:37,04-Mar-18
1.52012E+12,3,3/4/18 0:40,04-Mar-18
1.52012E+12,3,3/4/18 0:41,04-Mar-18
1.52012E+12,2,3/4/18 0:42,04-Mar-18
1.52012E+12,3,3/4/18 0:43,04-Mar-18
1.52012E+12,2,3/4/18 0:43,04-Mar-18
1.52012E+12,3,3/4/18 0:54,04-Mar-18
1.52012E+12,2,3/4/18 0:55,04-Mar-18
1.52013E+12,3,3/4/18 0:58,04-Mar-18
1.52013E+12,2,3/4/18 0:58,04-Mar-18
1.52013E+12,3,3/4/18 1:03,04-Mar-18
1.52013E+12,2,3/4/18 1:03,04-Mar-18
1.52013E+12,3,3/4/18 1:08,04-Mar-18
1.52013E+12,2,3/4/18 1:08,04-Mar-18
1.52013E+12,3,3/4/18 1:21,04-Mar-18
1.52013E+12,2,3/4/18 1:21,04-Mar-18
1.52013E+12,3,3/4/18 1:29,04-Mar-18
1.52013E+12,2,3/4/18 1:30,04-Mar-18
1.52013E+12,3,3/4/18 1:36,04-Mar-18
1.52013E+12,2,3/4/18 1:37,04-Mar-18
1.52013E+12,3,3/4/18 1:38,04-Mar-18
1.52013E+12,2,3/4/18 1:39,04-Mar-18
1.52013E+12,3,3/4/18 1:47,04-Mar-18
1.52013E+12,2,3/4/18 1:47,04-Mar-18
1.52013E+12,3,3/4/18 1:53,04-Mar-18
1.52013E+12,2,3/4/18 1:58,04-Mar-18
1.52013E+12,3,3/4/18 2:00,04-Mar-18
1.52013E+12,3,3/4/18 2:00,04-Mar-18
1.52013E+12,2,3/4/18 3:21,04-Mar-18
1.52013E+12,3,3/4/18 3:25,04-Mar-18
1.52013E+12,2,3/4/18 3:26,04-Mar-18
1.52014E+12,3,3/4/18 4:45,04-Mar-18
1.52014E+12,2,3/4/18 4:53,04-Mar-18
1.52014E+12,3,3/4/18 4:54,04-Mar-18
1.52014E+12,2,3/4/18 4:57,04-Mar-18
1.52014E+12,3,3/4/18 5:37,04-Mar-18
1.52014E+12,2,3/4/18 5:39,04-Mar-18
1.52014E+12,3,3/4/18 5:45,04-Mar-18
1.52014E+12,2,3/4/18 5:46,04-Mar-18
1.52015E+12,3,3/4/18 6:43,04-Mar-18
1.52015E+12,2,3/4/18 6:45,04-Mar-18
1.52015E+12,3,3/4/18 6:51,04-Mar-18
1.52015E+12,2,3/4/18 6:57,04-Mar-18
1.52015E+12,3,3/4/18 7:01,04-Mar-18
1.52015E+12,2,3/4/18 7:36,04-Mar-18
1.52015E+12,2,3/4/18 7:36,04-Mar-18
1.52015E+12,2,3/4/18 7:36,04-Mar-18
1.52015E+12,2,3/4/18 7:36,04-Mar-18
1.52015E+12,2,3/4/18 7:36,04-Mar-18
1.52015E+12,2,3/4/18 7:36,04-Mar-18
1.52018E+12,3,3/4/18 15:43,04-Mar-18
1.52018E+12,2,3/4/18 16:36,04-Mar-18
1.52018E+12,3,3/4/18 16:37,04-Mar-18
1.52018E+12,2,3/4/18 16:43,04-Mar-18
1.52019E+12,3,3/4/18 17:37,04-Mar-18
1.52019E+12,2,3/4/18 17:41,04-Mar-18
1.52019E+12,3,3/4/18 18:17,04-Mar-18
1.52019E+12,2,3/4/18 18:17,04-Mar-18
1.52019E+12,3,3/4/18 19:19,04-Mar-18
1.52019E+12,2,3/4/18 19:22,04-Mar-18
1.52019E+12,3,3/4/18 19:26,04-Mar-18
1.52019E+12,2,3/4/18 19:26,04-Mar-18
1.5202E+12,3,3/4/18 21:08,04-Mar-18
1.5202E+12,2,3/4/18 21:08,04-Mar-18
1.5202E+12,3,3/4/18 21:14,04-Mar-18
1.5202E+12,2,3/4/18 21:28,04-Mar-18
1.5202E+12,3,3/4/18 21:44,04-Mar-18
1.5202E+12,2,3/4/18 21:44,04-Mar-18
1.5202E+12,3,3/4/18 21:52,04-Mar-18
1.5202E+12,3,3/4/18 21:54,04-Mar-18
1.5202E+12,2,3/4/18 21:54,04-Mar-18
1.5202E+12,3,3/4/18 21:59,04-Mar-18
1.5202E+12,2,3/4/18 22:03,04-Mar-18
1.5202E+12,2,3/4/18 22:03,04-Mar-18
1.5202E+12,2,3/4/18 22:03,04-Mar-18
